id_comedor,comedor,nombre,direccion,colonia,delegacion
293,CC458,LOS GIRASOLES,PUENTE ROSARIO MZ  6 LT 1   C.P. 08030,GABRIEL RAMOS MILLAN SECCL6N CUCHILLA,IZTACALCO
294,CC459,SARCA,GENERAL LUCIO BLANCO #27  C.P. 15460,REVOLUCL6N,VENUSTIANO CARRANZA
295,CC460,TU CASA FAMILIAR KITY,SUR 81  #387  C.P. 15820,LORENZO BOTURINI,VENUSTIANO CARRANZA
296,CC461,LUGAR LOS ENCINOS,IGNACIO ALLENDE  #4   C.P. 16810,SAN ANDRES AHUAYUCAN,XOCHIMILCO
297,CC462,PARAJE NOPALTITLA,HUAZONTLE 5/N  C.P. 14700,PARAJE NOPALTITLA SAN MIGUEL AJUSCO,TLALPAN
298,CC463,PEDREGAL 1,TLAMAHUACALA  NUMERO 2,PEDREGAL DE SAN NICOLAS,TLALPAN
299,CC464,FLORES,PANAMERICANO  #3  C.P. 16500,SANTA CRUZ ACALPIXCA,XOCHIMILCO
300,CC465,LAS CABANAS,JUAN ESCUTIA  #20  C.P. 16600,PUEBLO SAN GREGORIO ATLAPULCO,XOCHIMILCO
301,CC466,PITA AMOR,CHAPULTEPEC #1   C.P. 13319,LA ESTACL6N,TLAHUAC
302,CC468,LATA,ORIENTE 120  5/N  C.P. 08020,AMPLIACL6N  GABRIEL RAMOS MILLAN,IZTACALCO
303,CC470,LOS CLAVELES,CERRADA  LA LUPITA #1  C.P. 12100,PUEBLO SAN ANTONIO TECOMITL,MILPA ALTA
304,CC471,CASA ANITA,CALLEJ6N BELISARIO DOMINGUEZ #20 MZ 6 LT 183 C.P. 09000,BARRIO SAN PABLO,IZTAPALAPA
305,CC473,TARANGO,TARANGO 5/N  C.P. 01750,AMPLIACL6N  LAS AGUILAS 3° PARQUE,ÁLVARO OBREGÓN
306,CC474,LA CUMBIA DEL MOLE,CALLEJ6N DEL PATO MZ  9 LT 19   C.P. 09000,BARRIO SAN JOSE,IZTAPALAPA
307,CC475,MAMA LAURA,TIZOC #193  C.P. 08220,SAN PEDRO IZTACALCO,IZTACALCO
308,CC476,VALDIVIA,CALLEJ6N FRANCISCO VILLA #1   C.P. 12900,SANTA ANA TLACOTENCO,MILPA ALTA
309,CC477,LULU,AVENIDA RFO CHURUBUSCO ENTRE 2°  Y 3°  CERRADA DE RFO CHURUBUSCO  5/N  C.P. 08100,AGRICOLA  PANTITLAN,IZTACALCO
310,CC478,EL SECRETO,ANDALUCIA  #261  C.P. 03400,ALAMOS,BENITO JUÁREZ
311,CC479,ROSARIO IBARRA DE PIEDRA,CLPRES #19  C.P. 01620,PROFESOR  JOSE ARTURO L6PEZ,ÁLVARO OBREGÓN
312,CC480,SOLEDAD,CUADRANTE DE LA SOLEDAD #8   C.P. 15100,CENTRO,VENUSTIANO CARRANZA
313,CC481,DANY,TLAXCALA #81  C.P.12000,SANTA MARTHA,MILPA ALTA
314,CC482,LAS FLORES,ALTA TENSL6N MZ 77 LT9  C.P. 13219,LAS ARBOLEDAS,TLAHUAC
315,CC483,MOLINO DE ROSAS,LAGO SAN JOSE #68  C.P. 11529,AMPLIACL6N GRANADA,MIGUEL HIDALGO
316,CC484,LA VICTORIA ES NUESTRA,JUSTINA  #128  C.P. 09130,PUEBLO DE SAN LORENZO XICOTENCA TL,IZTAPALAPA
317,CC485,MANA DEL CIELO,ANDADOR SOL#2  C.P. 01279,LOMAS DE BECERRA,ÁLVARO OBREGÓN
318,CC486,CALLE 15,CALLE 15  #31  C.P. 01400,OLIVAR DEL CONDE LA SECCL6N,ÁLVARO OBREGÓN
319,CC487,YOYIS_OLIVAR,CALLE 30  #92  C.P. 01408,OLIVAR DEL CONDE 2A SECCL6N,ÁLVARO OBREGÓN
320,CC488,GUENDALIZA  A,PROLONGACL6N RFO CHURUBUSCO  #318  C.P. 15610,CUCHILLA PANTITLAN,VENUSTIANO CARRANZA
321,CC489,SARITA,ORIENTE 249  B # 128  C.P. 08500,AGRICOLA ORIENTAL,IZTACALCO
322,CC490,LAS ABEJITAS,AVENIDA CHICAGO 5/N  C.P. 01289,REACOMODO  EL CUERNITO,ÁLVARO OBREGÓN
323,CC491,CARMEN,HALC6N MZ 18 LT 4   C.P. 51003,LUIS DONALDO COLOSIO,GUSTAVO A. MADERO
324,CC492,JEHOVA JIREH,CERRADA  DE JUAREZ NU MERO 2 ,EL MIRADOR 1 SAN LUCAS XOCHIMANCA,XOCHIMILCO
325,CC493,COMEDOR CDMX,CANAL RIO CHURUBUSCO S/N ESQ. CALLE FRUTAS Y LEGUMBRES,CENTRAL DE ABASTOS,IZTAPALAPA
326,CC494,COCOLI,SAN JERONIMO #2625  C.P. 10300,SAN BERNABE OCOTEPEC,MAGDALENA  CONTRERAS
327,CC495,GRAN CANAL,GRAN CANAL DE DESAGUE #506  C.P. 15300,20 DE NOVIEMBRE,VENUSTIANO CARRANZA
328,CC496,TERE,FRESNOS #34  C.P. 02120,SAN MARTIN XOCHINAHUAC,AZCAPOTZALCO
329,CC497,LAS BETYS,DALIA #9 C.P. 10610,EL TORO,MAGDALENA  CONTRERAS
330,CC498,MAKAJOMI,ZACATLJ\N ESQUINA ZEMPASUCHIL  C.P. 09790,SAN LORENZO TEZONCO,IZTAPALAPA
331,CC499,EL SAZON DE LA ABUELA,CORCEGA #337  C.P. 02670,COSMOPOLITA,AZCAPOTZALCO
332,CC500,LOS MANJARES DE IRAFS,PRADERA #13  C.P. 10620,EL POTRERILLO,MAGDALENA  CONTRERAS
333,CC501,LAS CAZUELAS DE DONA PAZ,ALLENDE #20  C.P. 05600,SAN MATEO TLALTENANGO,CUAJIMALPA
334,CC502,LA PILA,LRA  CERRADA DE PROLONGACION  CIRCUITO ESCOLAR #4  C.P. 05750,LA PILA,CUAJIMALPA
335,CC503,EL CLAUSTRO,SAN JERONIMO 77 INT A  C.P. 06090,CENTRO,CUAUHTÉMOC
336,CC504,DEL BARRIO,CAMELIA #69  C.P. 06300,GUERRERO,CUAUHTÉMOC
337,CC505,LULU,AV. CENTENARIO 2006 MZ 3 LT 28  C.P. 01540,VILLA PROGRESISTA,ÁLVARO OBREGÓN
338,CC506,LAS ORQU[DEAS,CALZADA DE LA VIGA #629  C.P. 08610,BARRIO SAN FRANCISCO XICALTONGO,IZTACALCO
339,CC507,SAN ISIDRO,AV. SAN ISIDRO #4  C.P. 16880,VILLAS SAN ISIDRO,XOCHIMILCO
340,CC508,LA GUERA,ESPERANZA  LOPEZ MATEOS   LT. 116 MZ. 10,LIBERACION PROLETARIA,ÁLVARO OBREGÓN
341,CC509,MARIPOSAS,ANDADOR A PALOMA ROQUIZA  MZA 3 LTE 8,VISTA HERMOSA,MAGDALENA  CONTRERAS
342,CC510,EL LUGAR,AV. OJO DE AGUA 23,LOMAS DE SAN BERNABE,MAGDALENA  CONTRERAS
343,CC511,MIGUEL HIDALGO,GIOCONDA MZ82 LT15,MIGUEL HIDALGO,TLAHUAC
344,CC512,LA LOMA,3A CERRADA DE LA LOMA 25,LA LOMA,TLAHUAC
345,CC513,EL TLECUIL DE DONA MARY,5 DE MAYO 7,PUEBLO DE SAN MIGUEL TOPILEJO,TLALPAN
346,CC514,ALEGRIA,BOLIVARES 288,PENSADOR MEXICANO,VENUSTIANO CARRANZA
347,CC515,,NICOL.AS BRAVO  1,SAN MATEO XALPA,XOCHIMILCO
348,CC516,SIHUATL,PRIMER CALLEJON DE CHAPULTEPEC 2,PUEBLO DE SAN ANDRES AHUAYUCAN,XOCHIMILCO
349,CC517,,PEDREGAL  24,SANTA CRUZ CHAVARRIETA,XOCHIMILCO
350,CC518,,PRIMERA CDA DE LA CRUZ  MZ 2 LT 467,XICALHUACAN,XOCHIMILCO
351,CC519,SANTA CECILIA,LUCERNA   145,SANTA CECILIA TEPETLAPA,XOCHIMILCO
352,CC520,EL SAZON,RAFAEL SIERRA   97,PARAJE SAN JUAN,IZTAPALAPA
353,CC521,AKBAL,QUETZALCOATL  MZ 5 LTE 8,UNIDAD POPULAR TEPEACA,ÁLVARO OBREGÓN
354,CC522,AMEYALI,LA ERA  NUMERO.18,PUEBLO SAN BARTOLO AMEYALCO,ÁLVARO OBREGÓN
355,CC523,SEMILLITA DE MOSTAZA,NORTE 84 A  N.6019,GERTRUDIS SANCHEZ,GUSTAVO A. MADERO
356,CC524,,IGNACIO ALLENDE N. 266,ARGETINA ANTIGUA,MIGUEL HIDALGO
357,CC525,SAN JOSE,ESTRELLITA  MZ 181 LT 1500,SANJOSE,TLAHUAC
358,CC526,SANTA CECILIA,CAMINO REAL A SANTA CECILIA N. 10,SAN ANDRES TOTOLTEPEC,TLALPAN
359,CC527,APAPACHANDO CORAZONES,LERA CERRADA DE JUAREZ N.7,PUEBLO DE SAN ANDRES TOTOLTEPEC,TLALPAN
360,CC528,,OLMOS 54-A,AMPLIACION SAN MARCOS,XOCHIMILCO
361,CC529,EL ROSARIO,SALVADOR DIAZ 9,EL ROSARIO,TLAHUAC
362,CC530,LA NOPALERA,LIBERTAD MZ. 1 LT. 2,LA NOPALERA,TLAHUAC
363,CC531,A FUEGO LENTO,FERROCARRIL CENTRAL  438,VICTORIA DE LAS DEMOCRACIAS,AZCAPOTZALCO
364,CC532,LA OLLA FELIZ,HERRADURA MZ. 36 LT. 24,MIGUEL DE LA MADRID,IZTAPALAPA
365,CC533,COMEDOR LOMAS,2A CERRADA DE OCOTOCHTLI 4,PARAJE LOMAS TEPEMECATL,TLALPAN
366,CC534,COLECTIVO MUSAS,CALVARIO  6,SAN ANDRES TOTOLTEPEC,TLALPAN
367,CC535,LA GLORIA DEL SAZON,CERRADA 13 DE ADOLFO PRIETO  11,DEL VALLE,BENITO JUÁREZ
368,CC536,SAN JUDAS,EDGARDO ALMIGA  MZ. 4 LT. 7,6 DE JULIO,GUSTAVO A. MADERO
369,CC537,LAS DELICIAS DE GINA,CAMINO DE EN MEDIO NL/MERO 31,CAMPESTRE ARAGON,GUSTAVO A. MADERO
370,CC538,OLGUIN,JALISCO MZ. 37 LT. 475,CHALMA DE GUADALUPE,GUSTAVO A. MADERO
371,CC539,LAS CAZUELAS DE LA OBRERA,RAFAEL DELGADO 36,OBRERA,CUAUHTÉMOC
372,CC540,OYAMELLO,CARRETERA FEDERAL A CUERNA VACA KILOMETRO 31.700 N. 1,PARAJE OYAMELLO,TLALPAN
373,CC541,ISKAO,LAS ROSAS MZ 34 LT 12,PUEBLO PARRES EL GUARDA,TLALPAN
374,CC542,CATI,EMILIO BERLINER   MZ 21 LT 11,FUEGO NUEVO,IZTAPALAPA
375,CC543,LAS AMIGAS,VILLA BERTHET  MZ 43 LT2,DESARROLLO URBANO QUETZALC6ATL,IZTAPALAPA
376,CC544,YOLO,PRIVADA GUADALAJARA  124,MIGUEL HIDALGO,MILPA ALTA
377,CC545,PEZ GURAMI,PEZ GURAMI  MZ 3 LT 43,DEL MAR,TLAHUAC
378,CC546,19 DE MAYO,OTONO  S/N,19 DE MAYO,ÁLVARO OBREGÓN
379,CC547,CUVIDI,SAN BERNABE 63,LAS MAROMAS,CUAJIMALPA
380,CC548,ELOCUA,1. CERRADA DE CLAVEL SUR LOTE 1,SAN PERO MARTRR,TLALPAN
381,CC549,LA CASA DE LOS ABUELOS,CEDROS SUR   73,SAN JUAN TEPENAHUAC,MILPA ALTA
382,CC550,,VICENTE GUERRERO  3,SANTA BARBARA,AZCAPOTZALCO
383,CC551,,NOGAL  3,TLAXOPAN,XOCHIMILCO
384,CC552,SALVADOR ALLENDE,HACIENDA Y CREDITO PUBLICO  7,FEDERAL,VENUSTIANO CARRANZA
385,CC553,,GENERAL ANAYA N. 45,PUEBLO DE SAN PEDRO ATOCPAN,MILPA ALTA
386,CC554,LA GUADALUPANA,PRIVADA TLATENCO N. 188,SANTA CATARINA,AZCAPOTZALCO
387,CC555,,AMANECER  13,VALLE DE LUCES,IZTAPALAPA
388,CC556,,CALLE 3RA CERRADA DE HIDALGO 11,COLONIA SAN MIGUEL AJUSCO,TLALPAN
389,CC557,,CALLE AARON PROAL. MZ 3 LT 7,COLONIA PREDIO EL MOLINO UNIDAD ALLEPETLALI,IZTAPALAPA
390,CC558,EL SAZ6N DE LILI,CALLE FERROCARRILES NACIONALES NUMERO 15,COLONI: NUEVO ROSARIO,AZCAPOTZALCO
391,CC559,,CALLE AVENIDA VALLE DE MEXICO# 461 (IEMS IZTAPALAPA),COLONIA MIRAVALLE,IZTAPALAPA
392,CC560,LA JOYA,CALLE LA JOYA MZ7S LT 72,COLONIA LA JOYA,IZTAPALAPA
393,CC561,COCINA FELIZ,CALLE CALZADA DEL HUESO NUMERO 738,SANTA CECILIA,COYOACÁN
394,CC562,MOSAICO DOWN,CALLE CITILCUM NUMERO 56,COLONIA LOMAS DE PADIERNA,TLALPAN
395,CC563,CASTILLO BLANCO,CALLE FUERTE REYES MAGOS MZ 161 LT 19,COLONIA CASTILLO GRANDE,GUSTAVO A. MADERO
396,CC564,,CERRADA DE MANZANO  S/N MZ 1 LT 23,TIERRA BLANCA,TLAHUAC
397,CC565,,CALLE ANTONIO BEJAR  NUMERO 7,OJO DE AGUA TLALTENCO,TLAHUAC
398,CC566,HERMOSA PROVINCIA,ANDADOR 29 DE OCTUBRE S/N,LOMAS DE LA ERA,ÁLVARO OBREGÓN
399,CC567,,DE LAS TORRES 132,REFORMA POLITICA,IZTAPALAPA
400,CC568,,CALZADA DE TLALPAN 3463,VIEJO EJIDO SE SANTA URSULA,COYOACÁN
401,CC569,OLIVOS,TE6FILO NORE 28-A,LA CONCHITA,TLAHUAC
402,CC570,EMILIA,AV. 497 NUMERO 95,7• SEC DE SAN JUAN DE ARAG6N,GUSTAVO A. MADERO
403,CC571,AZAFRAN,AZAFRAN  575,GRANJAS MEXICO,IZTACALCO
404,CC572,LAS DELICIAS DE SAN ANDRES,EMILIO CARRANZA  121,SAN ANDRES TETEPILCO,IZTAPALAPA
405,CC573,,AHUEHUETES MZ. 13 LT 142,AHUEHUETES,GUSTAVO A. MADERO
406,CC574,,OLIVO NUMERO 571,ARENAL,AZCAPOTZALCO
407,CC575,,NORTE 168 NUMERO 497,PENSADOR MEXICANO,VENUSTIANO CARRANZA
408,CC576,SABIDURRA Y FELICIDAD,SUPER MANZANA MZ 37 EDIF 1 DEPTO D,UH EJERCITO CONSTITUCIONALISTA,IZTAPALAPA
409,CC577,,CALLE HIGUERAS  NUMERO 13,SAN GREGORIO ATLAPULCO,XOCHIMILCO
410,CC578,,CAMINO REAL  NUMERO 292,AMPLIACL6N NATIVITAS LA JOYA,XOCHIMILCO
411,CC579,,CARRETERA FEDERAL M{EXICO-TOLUCA 19.8,EL MOLINITO,CUAJIMALPA
412,CC580,TLAKUALI,CANAL DE CHALCO  ESQUINA PLRANA,DEL MAR,TLAHUAC
413,CC581,XICALCO,AVENIDA MEXICO NUMERO 33,SAN MIGUEL XICALCO,TLALPAN
414,CC582,,AV. 5 DE MAYO S/N,SAN BARTOLOME XICOMULCO,MILPA ALTA
415,CC583,,GILBERTO ALVAREZ MANZANA 169 LOTE 20,AMPLIACL6N SANTA MARTHA,IZTAPALAPA
416,CC584,,ESTRELLA SIN NUMERO,CASA BLANCA,IZTAPALAPA
417,CC585,,IZTACCIHUATL  MZ. 20  LT. 5,PEDREGAL DE LAS AGUILAS,TLALPAN
418,CC586,,AHAULAPA SIN NUMERO,EMILIANO ZAPATA,TLAHUAC
419,CC587,,ROSARIO SIN NUMERO,SANTA CATARINA,AZCAPOTZALCO
420,CC588,,5 TA. CERRADA DE PROLONGACL6N !TURBIDE NUMERO,SAN ANTONIO TECOMITL,MILPA ALTA
421,CC589,,AVENIDA SUR DEL COMERCIO  NUMERO 67,BARRIO LA SOLEDAD EN SAN JUAN IXTAYOPAN,TLAHUAC
422,CC590,,PROLONGACION  DE PENA ALTA NUMERO 33PENA ALTA,PENA ALTA,TLAHUAC
423,CC591,,CALLE 32 NUMERO 432,PORVENIR,AZCAPOTZALCO
424,CC592,MAMA MAGUITOS,TICUMUY MANZANA 376 LOTE 12,TORRES DE PADIERNA,TLALPAN
425,CC593,EL SAZON DE ANA,FERROCARRIL DE CUERNVACA NUMERO 27,LA HERRADURA DEL PUEBLO TETELPAN,ÁLVARO OBREGÓN
426,CC594,,CANELA NUMERO 341,GRANJAS MEXICO,IZTACALCO
427,CC595,,CAMELIA NUMERO 264 B,BUENA VISTA,CUAUHTÉMOC
428,CC596,,ADOLGO GURRION  NUMERO 72,MERCED CENTRO,VENUSTIANO CARRANZA
429,CC597,,CARRETERA NUEVO XOCHIMILCO TULYEHUALCO NUMERO 9745,SANTIAGO TULYEHUALCO,XOCHIMILCO
430,CC598,,LA ESCONDIDA NUMERO 69,SANTA ROSA XOCHIAC,ÁLVARO OBREGÓN
431,CC599,,LAGO XIMILPA NUMERO 88,ARGENTINA ANTIGUA,MIGUEL HIDALGO
432,CC600,,AVENIDA JALALPA NORTE NUMERO 120,JALALPA EL GRANDE,ÁLVARO OBREGÓN
433,CC601,,ORIENTE 237 NUMERO 39,AGRICOLA ORIENTAL,IZTACALCO
434,CC602,CHIO,PROLONGACION  AYOCATITLA MANZANA 11 LOTE 5,ASUNCION PUEBLO SAN MIGUEL TOPILEJO,TLALPAN
435,CC603,,CAMPO DEPORTIVO NUMERO 3,PUEBLO SANTA CRUZ XOCHITEPEC,XOCHIMILCO
436,CC604,,AVENIDA RIO GUADALUPE ESQUINA ANDADOR TECALCAPA SIN NUMERO,EL MIRADOR,ÁLVARO OBREGÓN
437,CC605,,AVENIDA FERROCARRIL HIDALGO NUMERO 1229,COSNTITUCION DE LA REPUBLICA,GUSTAVO A. MADERO
438,CC606,,DON PASCUALE MANZANA 15 LOTE 8,AGRICOLA METROPOLITANA,TLAHUAC
439,CC607,EL RINCON DEL COYOTE,IGNACIO MOLINA NLIMERO 14,LA CONCHITA ZAPOTITLAN,TLAHUAC
440,CC608,LA CASA DE LOS  ABUELOS,1505 NUMERO 94,SAN JUAN DE ARAGON SEXTA SECCION,GUSTAVO A. MADERO
441,CC609,ROSI,1547 NUMERO 31,SAN JUAN DE ARAGON SEXTA SECCION,GUSTAVO A. MADERO
442,CC610,,YOBAIN NUMERO 105,BELVEDERO,TLALPAN
443,CC611,,DONATELLO NUMERO 56,INSURGENTES MIXCOAC,BENITO JUÁREZ
444,CC612,,AVENIDA CRUZ BLANCA NUMERO 321,SAN MIGUEL TOPILEJO,TLALPAN
445,CC613,,PROLONGACION  LAZARO CARDENAS  NUMERO 173,SAN MATEO TLALTENANGO,CUAJIMALPA
446,CC614,,FRANCISCO I. MADERO  NUMERO 154,PUEBLO DE SANTA ANA TLACOTENCO,MILPA ALTA
447,CC615,,CHALCHINIHUITL NUMERO 55,SANTA ISABEL TOLA,GUSTAVO A. MADERO
448,CC616,,PRIVADA DE CONTLA NUMERO 16,SANTA CECILIA TEPETLAPA,XOCHIMILCO
449,CC617,,CALLEJON ALLENDE NUMERO 43,BARRIO DE SAN AMTEO,TLAHUAC
450,CC618,,GALEANA NUMERO 276,SANTA FE PUEBLO,ÁLVARO OBREGÓN
451,CC619,,CERRADA VASCO DE QUIROGA NUMERO 2002,SANTA FE KILOMETRO 8.5,ÁLVARO OBREGÓN
452,CC620,,CERRADA DE ZANCANCO EN PARAJE ZACANCO SIN NLIMERO,LA LUZ,MILPA ALTA
453,CC621,,SEGUNDA CERRADA BIENESTAR NUMERO 5,SAN MIGUEL AJUSCO,TLALPAN
454,CC622,,CALLEJON SAN MIGUEL NUMERO 29,COLONIA SAN DIEGO CHURUBUSCO,COYOACÁN
455,CC623,,CERRADA DE CLAVEL NUMERO 311,AMPLIACION NATIVITAS LA JOYA,XOCHIMILCO
456,CC624,,CHONTALENOS MANZANA 8 LOTE 3,FRANCISCO VILLA,ÁLVARO OBREGÓN
457,CC625,,CARRAZCO MZ 13 LT 14,CANTERA PUENTE DE PIEDR1,TLALPAN
458,CC626,,CONSTITUCION DE LA REPUBLICA 91,PROVIDENCIA,GUSTAVO A. MADERO
459,CC627,,MANUELJ TELLO MZ 5 LT 29,ADOLFO LOPEZ MATEOS,VENUSTIANO CARRANZA
460,CC628,,ANDADOR CHAMIXTO MZ 8 LT 3,LOMA DEL PADRE,CUAJIMALPA
